1,2001,0,2,Seoul,Chuncheon,16
2,2002,0,1,Chuncheon,Wonju,28
3,2003,0,3,Wonju,Gwangju,35
4,2004,0,5,Gyeongju,Wonju,32
5,2005,0,1,Chuncheon,Deajeon,45
6,2006,1,10,Asan,Deajeon,35
7,2007,1,1,Seoul,Gyeongju,44
8,2008,1,2,Gwangju,Chuncheon,49
9,2009,3,1,Deajeon,Seoul,29
10,2010,3,3,Gwangju,Asan,25
11,2011,5,6,Chuncheon,Gwangju,49
12,2012,5,2,Asan,Wonju,42
13,2013,7,3,Chuncheon,Deajeon,45
14,2014,7,1,Asan,Deajeon,35
15,2015,7,1,Seoul,Wonju,22
16,2016,7,2,Deajeon,Gyeongju,15
17,2017,7,8,Seoul,Gyeongju,44
18,2018,10,1,Asan,Gwangju,25
19,2019,10,1,Deajeon,Seoul,29
20,2020,10,5,Asan,Gyeongju,43
21,2021,13,1,Deajeon,Seoul,29
22,2022,15,3,Seoul,Wonju,22
23,2023,15,1,Gyeongju,Asan,43
24,2024,15,2,Wonju,Deajeon,23
25,2025,19,3,Chuncheon,Gyeongju,31
26,2026,19,3,Gyeongju,Asan,43
27,2027,19,1,Wonju,Gwangju,35
28,2028,19,1,Deajeon,Chuncheon,45
29,2029,19,7,Seoul,Chuncheon,16
30,2030,20,2,Deajeon,Gyeongju,15
31,2031,22,3,Asan,Gyeongju,43
32,2032,22,2,Chuncheon,Seoul,16
33,2033,25,1,Asan,Deajeon,35
34,2034,25,1,Wonju,Gyeongju,32
35,2035,25,2,Seoul,Gwangju,41
36,2036,25,2,Chuncheon,Asan,36
37,2037,25,3,Gwangju,Wonju,35
38,2038,28,1,Chuncheon,Deajeon,45
39,2039,29,4,Deajeon,Wonju,23
40,2040,30,1,Asan,Seoul,20
41,2041,35,2,Chuncheon,Seoul,16
42,2042,35,9,Wonju,Gyeongju,32
43,2043,35,2,Deajeon,Gwangju,12
44,2044,35,2,Wonju,Seoul,22
45,2045,35,3,Asan,Wonju,42
46,2046,37,2,Chuncheon,Gwangju,49
47,2047,40,1,Deajeon,Wonju,23
48,2048,41,3,Wonju,Asan,42
49,2049,42,1,Chuncheon,Gyeongju,31
50,2050,42,5,Seoul,Gwangju,41
,,,,,,
